Codigo,Descripcion,Unidad,Valor Unitario
004419,POSTE CONCRETO 13 X 750 KG,UND,1298370.0
004420,POSTE CONCRETO 13 X 1050KG,UND,1636750.0
004421,POSTE CONCRETO 13X750KG DI,UND,1516906.0
004422,POSTE CONCRETO 14X750KG DI,UND,1648000.0
004423,POSTE CONCRET 16x1050KG DI,UND,2815530.0
004424,POSTE CONCRET 18x1050KG DI,UND,5718848.0
004304,POSTE CONCRETO 11 X 1050KG,UND,1197153.0
004310,POSTE CONCRETO 12X1050 KG,UND,1472065.0
004290,TRANSP POSCONCR HASTA 12MT,UND,55707.0
004441,TRANSP POSCONCR HASTA 18MT,UND,77856.0
004425,"""POSTE LAMINA 1/ 8""""x 9MTS",UND,1424430.0
004426,"""POSTE LAMINA 1/ 8""""x11MTS",UND,1961050.0
004427,"""POSTE LAMINA 1/ 8""""x12MTS",UND,2158455.0
004428,"""POSTE LAMINA 3/16""""X 9 MT",UND,1356600.0
004429,"""POSTE LAMINA 3/16""""X 11 M",UND,1937796.0
004430,"""POSTE LAMINA 3/16""""X 12 M",UND,2132861.0
005417,HUMEDADES NATURALES,DIA,4511.0
005418,LIMITES DE ATTERBERG,DIA,28700.0
005419,COMPRESION INCONFINADA,DIA,9584.0
005420,TRANSP.EQUIPO EST.SUELOS,UND,135000.0
005421,MASTIL ACERO 20 MT CANASTI,UND,11296000.0
