codigo_recurso,descripcion_recurso,unidad_recurso,cantidad_recurso,desper,vr_unitario,vr_parcial,codigo_analisis
MOAG02,MANO OBRA ALBANILERIA 2 AYUDANTE,HC,2.5,0.0,17897.0,44743.0,02-04-10
003890,FORMALETA CAMARA INSPECCIO,UND,1.0,0.0,54213.0,54213.0,02-04-12
MOAG12,MANO OBRA ALBANILERIA 2 AYUDANTE-1 OFI,HC,3.0,0.0,32845.0,98535.0,02-04-12
MQ0205,RETROEXCAVADORA JD-510,HRS,1.0,0.0,88000.0,88000.0,02-04-12
MQ0301,HERRAMIENTA MENOR,GLB,0.03,0.0,1600.0,48.0,02-04-12
MOAG02,MANO OBRA ALBANILERIA 2 AYUDANTE,HC,0.35,0.0,17897.0,6264.0,02-04-13
MQ0301,HERRAMIENTA MENOR,GLB,0.1,0.0,1600.0,160.0,02-04-13
MOAG03,MANO OBRA ALBANILERIA 3 AYUDANTE,HC,0.6,0.0,26846.0,16108.0,02-04-14
MQ0205,RETROEXCAVADORA JD-510,HRS,0.03,0.0,88000.0,2640.0,02-04-14
MQ0301,HERRAMIENTA MENOR,GLB,0.1,0.0,1600.0,160.0,02-04-14
002556,TABLA 1x10x300 OTOBO,UND,2.0,0.0,13007.0,26014.0,02-04-17
003890,FORMALETA CAMARA INSPECCIO,UND,1.0,0.0,54213.0,54213.0,02-04-17
003999,HIERR.DE 60000 PSI 420 MPA,KLS,52.4,3.0,4287.0,231378.0,02-04-17
004600,HIERR.DE 37000 PSI 259 MPA,KLS,4.0,3.0,4000.0,16480.0,02-04-17
MOAG12,MANO OBRA ALBANILERIA 2 AYUDANTE-1 OFI,HC,14.0,0.0,32845.0,459830.0,02-04-17
MQ0124,VIBRADOR,DIA,0.02,0.0,30146.0,603.0,02-04-17
MQ0301,HERRAMIENTA MENOR,GLB,0.05,0.0,1600.0,80.0,02-04-17
002556,TABLA 1x10x300 OTOBO,UND,2.0,0.0,13007.0,26014.0,02-04-18
003890,FORMALETA CAMARA INSPECCIO,UND,1.0,0.0,54213.0,54213.0,02-04-18
004600,HIERR.DE 37000 PSI 259 MPA,KLS,4.0,3.0,4000.0,16480.0,02-04-18
MOAG12,MANO OBRA ALBANILERIA2 AYUDANTE-1 OFI,HC,12.0,0.0,32845.0,394140.0,02-04-18
MQ0124,VIBRADOR,DIA,0.02,0.0,30146.0,603.0,02-04-18
MQ0301,HERRAMIENTA MENOR,GLB,0.05,0.0,1600.0,80.0,02-04-18
MOIS02,MANO OBRA HIDRO1 AYUDANTE - 1 OFI+10 A2,HC,4.0,0.0,35087.0,140348.0,02-04-19
MQ0301,HERRAMIENTA MENOR,GLB,1.0,0.0,1600.0,1600.0,02-04-19
MOIS02,MANO OBRA HIDRO1 AYUDANTE - 1 OFI+10 A2,HC,3.0,0.0,35087.0,105261.0,02-04-20
MQ0301,HERRAMIENTA MENOR,GLB,1.0,0.0,1600.0,1600.0,02-04-20
MOAG12,MANO OBRA ALBANILERIA2 AYUDANTE-1 OFI,HC,2.5,0.0,32845.0,82113.0,02-04-21
002556,TABLA 1x10x300 OTOBO,UND,2.0,0.0,13007.0,26014.0,02-04-22
003890,FORMALETA CAMARA INSPECCIO,UND,1.0,0.0,54213.0,54213.0,02-04-22
003999,HIERR.DE 60000 PSI 420 MPA,KLS,52.5,3.0,4287.0,231820.0,02-04-22
004600,HIERR.DE 37000 PSI 259 MPA,KLS,4.0,3.0,4000.0,16480.0,02-04-22
MOAG12,MANO OBRA ALBANILERIA2 AYUDANTE-1 OFI,HC,15.0,0.0,32845.0,492675.0,02-04-22
002556,TABLA 1x10x300 OTOBO,UND,2.0,0.0,13007.0,26014.0,02-04-23
003890,FORMALETA CAMARA INSPECCIO,UND,1.0,0.0,54213.0,54213.0,02-04-23
003999,HIERR.DE 60000 PSI 420 MPA,KLS,52.5,3.0,4287.0,231820.0,02-04-23
004600,HIERR.DE 37000 PSI 259 MPA,KLS,4.0,3.0,4000.0,16480.0,02-04-23
MOAG12,MANO OBRA ALBANILERIA2 AYUDANTE-1 OFI,HC,16.0,0.0,32845.0,525520.0,02-04-23
002556,TABLA 1x10x300 OTOBO,UND,2.5,0.0,13007.0,32518.0,02-04-24
003890,FORMALETA CAMARA INSPECCIO,UND,2.0,0.0,54213.0,108426.0,02-04-24
003999,HIERR.DE 60000 PSI 420 MPA,KLS,66.5,3.0,4287.0,293638.0,02-04-24
MOAG12,MANO OBRA ALBANILERIA2 AYUDANTE-1 OFI,HC,11.0,0.0,32845.0,361295.0,02-04-24
002556,TABLA 1x10x300 OTOBO,UND,2.5,0.0,13007.0,32518.0,02-04-25
003890,FORMALETA CAMARA INSPECCIO,UND,2.0,0.0,54213.0,108426.0,02-04-25
003999,HIERR.DE 60000 PSI 420 MPA,KLS,66.5,3.0,4287.0,293638.0,02-04-25
004600,HIERR.DE 37000 PSI 259 MPA,KLS,5.0,3.0,4000.0,20600.0,02-04-25
MOAG12,MANO OBRA ALBANILERIA2 AYUDANTE-1 OFI,HC,12.0,0.0,32845.0,394140.0,02-04-25
002556,TABLA 1x10x300 OTOBO,UND,2.5,0.0,13007.0,32518.0,02-04-26
003890,FORMALETA CAMARA INSPECCIO,UND,2.0,0.0,54213.0,108426.0,02-04-26
003999,HIERR.DE 60000 PSI 420 MPA,KLS,66.5,3.0,4287.0,293638.0,02-04-26
004600,HIERR.DE 37000 PSI 259 MPA,KLS,5.0,3.0,4000.0,20600.0,02-04-26
MOAG12,MANO OBRA ALBANILERIA2 AYUDANTE-1 OFI,HC,13.0,0.0,32845.0,426985.0,02-04-26
002556,TABLA 1x10x300 OTOBO,UND,2.5,0.0,13007.0,32518.0,02-04-27
003890,FORMALETA CAMARA INSPECCIO,UND,2.0,0.0,54213.0,108426.0,02-04-27
003999,HIERR.DE 60000 PSI 420 MPA,KLS,66.5,3.0,4287.0,293638.0,02-04-27
004600,HIERR.DE 37000 PSI 259 MPA,KLS,5.0,3.0,4000.0,20600.0,02-04-27
MOAG12,MANO OBRA ALBANILERIA2 AYUDANTE-1 OFI,HC,15.0,0.0,32845.0,492675.0,02-04-27
002556,TABLA 1x10x300 OTOBO,UND,2.5,0.0,13007.0,32518.0,02-04-28
003890,FORMALETA CAMARA INSPECCIO,UND,2.0,0.0,54213.0,108426.0,02-04-28
